exName,exUnit,score,cRate,exDef,exStd
벤치프레스,kg,160 120 90 60 20,1,1. 벤치에 누워 상체에 아치를 만들고 견갑과 하체를 단단히 고정한다./2. 바벨을 가슴 정면으로 들어올린다./3. 호흡을 잡고 복부에 힘을 주며 천천히 하강한다. 이 때 전완의 각도는 지면에서 수직이어야 한다/4.  충분히 하강했으면 끝까지 밀어올린다.,팔꿈치 관절의 각도가 직각 이상을 이루도록 하강한다./가슴에 부딪히는 반동으로 들어올리지 않도록 한다./하강 후 상승 시 반드시 정점에 도달한 후 바벨을 랙에 건다./리프팅벨트| 엘보우| 손목 보호대 사용 가능
데드리프트,kg,280 220 150 110 60,0.66,1. 양 발은 골반너비로  벌리고 발의 중심에 바벨이 위치하도록 선다./2. 앉아서 양 팔은 어깨너비정도로 다리의 바로 바깥으로 바벨을 잡는다./3. 허리가 말리지 않도록 가슴을 들고 등 전체와 복부에 힘을 주어 상체를 단단하게 한다./4. 골반을 앞으로 집어넣는다는 느낌으로 바벨을 몸이 완전히 펴질 때까지 들어올린다.,다리의 너비는 어깨너비보다 좁아야한다(스모데드리프트 불가)/얼터너티브 그립도 가능하나 스트랩 사용은 불가능하다./리프팅벨트| 무릎| 정강이 보호대 사용가능
스쿼트,kg,250 180 140 100 40,0.75,1. 바벨을 가슴 높이의 랙에 걸쳐놓고 바벨 밑으로 들어가 승모근 위에 바벨을 걸친다./2. 복부에 힘을 주어 상체를 단단히 하고 바벨을 들어올린다./3. 랙에 걸리지 않게 한걸음정도 뒤로 가서 양 발을 어깨너비로 두고 발 끝은 바깥쪽으로 조금 벌려준다./4. 발바닥이 들리지 않고 허리가 굽혀지지 않으며 양 무릎이 안쪽으로 모이지 않게 신경쓰며 천천히 하강한다./5. 발의 모든 부분으로 땅을 밀어낸다는 느낌으로 상승한다.,"승모근 아래에 바벨을 걸치는 로우바 스쿼트도 허용한다./골반의 높이는 무릎 아래까지 내려가야한다./리프팅벨트| 무릎 보호대 사용 가능
"
오버헤드프레스,kg,120 90 60 40 20,1.66,1. 바벨을 가슴높이의 랙에 걸쳐놓고 어깨너비보다 조금 넓게 잡고 들어올린 후 랙에 걸리지 않게 뒤로 한걸음 이동한다./2. 호흡을 들이마시고 복부에 힘을 주어 상체를 단단하게 한 후  바벨이 몸의 중앙에 위치해야 하므로 목을 약간 뒤로 뺴고 전완 각도가 지면에 수직인 상태를 유지하며 들어올린다./3. 들어올리며 목은 다시 앞으로 보내 자연스럽게 정수리 위로 바벨이 위치하게 한다./4. 목을 뒤로 빼 바벨을 수직으로 천천히 하강하게 한다.,하체와 허리의 반동을 사용하지 않는다./팔꿈치가 완전히 펴질때까지 들어올린다./리프팅벨트| 손목| 팔꿈치 보호대 사용 가능
바벨컬,kg,60 45 30 20 10,2.5,1. 양발은 어깨너비정도로 자연스럽게 서서 하체는 고정한다./2. 바벨을 어깨너비 언더그립으로 잡고 팔꿈치는 상체와 평행하게 둔다./3. 손목을 과하게 꺾지 않고 팔힘을 이용하여 쇄골 위치까지 호를 그리며 들어올리고 천천히 하강한다.,"상하체를 고정하기 위해 벽이나 인클라인벤치에 등을 고정한 상태로 수행한다./팔꿈치는 완전히 풀어진 상태에서 시작한다./상하체 반동을 쓰지 않고 오로지 팔 힘만으로 들어올린다.
"
레그프레스,kg,600 450 300 200 120,0.33,1. 자연스럽게 누워 대칭으로 골반너비정도로 두고 발끝은 살짝 벌린다./2. 무릎을 넣어준다는 느낌으로 다리를 편 후 양 팔 위치에 안전장치를 해제한다./3. 천천히 최대로 하강했다가 밀어낸다,45도 각도로 밀어내는 파워 레그프레스 머신을 기준으로 한다./무릎 각도는 직각 이상으로 굽혀져야 인정
풀업,개,40 30 20 10 2,5,1. 철봉을 어깨너비정도로 잡는다./2. 가슴을 들어 견갑을 하강시키며 당겨 올라간다./3. 저항하며 천천히 하강한다.,"1분동안 갯수를 카운트한다./턱이 철봉 높이까지 올라가야 인정하며 터치는 하지 않아도 된다./견갑이 올라가는 데드행 포지션까지 내려갔다가 다시 올라가야한다.
"
푸시업,개,80 60 45 30 5,2,1. 양 팔은 어깨너비정도로 벌리고 손바닥을 넓게 바깥쪽으로 약간 벌려 땅을 짚는다./2. 그대로 엎드려 복부와 등에 힘을 주어 말리지 않게 한다./3. 팔꿈치 각도가 틀어지지 않게 천천히 하강했다가 상승한다.,1분동안 갯수를 카운트한다./팔의 너비는 상관 없으나 중간에 바꾸는건 불가능하다./팔꿈치 각도가 직각 이상을 굽혀져야 인정한다.
3KM,초,720 600 450 300 0,0.36,뛴다,트랙 러닝을 기준으로 한다./400미터 트랙 기준 7바퀴 반의 시간을 측정한다./트랙이 전부 보이는 앵글로 촬영을 진행한다.
10KM,초,1500 1200 900 600 0,0.13,뛴다,트랙 러닝을 기준으로 한다./400미터 트랙 기준 25바퀴의 시간을 측정한다./트랙이 전부 보이는 앵글로 촬영을 진행한다.
플랭크,초,420 300 240 180 60,0.6,1. 팔은 직각으로 굽히고 엎드린다./2. 복부와 등에 힘을 주어 허리가 말리지 않게 고정한다./3. 양 발은 골반정도의 너비로 벌려서 몸이 흔들리지 않게 고정하고 최대한 버텨낸다.,중간에 자세가 바뀌면 실패/엉덩이는 과하게 들지 않는다.
